Agg_Type,Date,Country,Brand,Product,Coverage,Industry_Coverage,SOV,COV_increase,SOV_increase
Quarter,2021-01-01,All,A,SMP,55113,124635,0.442195,0.0,0.0
Quarter,2021-01-01,All,A,SMP:high-end,41671,94054,0.443054,0.0,0.0
Quarter,2021-01-01,All,A,SMP:low-end,13500,30862,0.437431,0.0,0.0
Quarter,2021-01-01,All,A,SMP:mid-end,19523,44299,0.440710,0.0,0.0
Quarter,2021-01-01,All,G,SMP,6711,124635,0.053845,0.0,0.0
Quarter,2021-01-01,All,G,SMP:high-end,5114,94054,0.054373,0.0,0.0
Quarter,2021-01-01,All,G,SMP:low-end,1692,30862,0.054825,0.0,0.0
Quarter,2021-01-01,All,G,SMP:mid-end,2384,44299,0.053816,0.0,0.0
Quarter,2021-01-01,All,H,SMP,6183,124635,0.049609,0.0,0.0
Quarter,2021-01-01,All,H,SMP:high-end,4580,94054,0.048695,0.0,0.0
Quarter,2021-01-01,All,H,SMP:low-end,1532,30862,0.049640,0.0,0.0
Quarter,2021-01-01,All,H,SMP:mid-end,2225,44299,0.050227,0.0,0.0
Quarter,2021-01-01,All,O,SMP,5364,124635,0.043038,0.0,0.0
Quarter,2021-01-01,All,O,SMP:high-end,4038,94054,0.042933,0.0,0.0
Quarter,2021-01-01,All,O,SMP:low-end,1286,30862,0.041669,0.0,0.0
Quarter,2021-01-01,All,O,SMP:mid-end,1919,44299,0.043319,0.0,0.0
Quarter,2021-01-01,All,S,SMP,44565,124635,0.357564,0.0,0.0
Quarter,2021-01-01,All,S,SMP:high-end,33585,94054,0.357082,0.0,0.0
Quarter,2021-01-01,All,S,SMP:low-end,11177,30862,0.362161,0.0,0.0
Quarter,2021-01-01,All,S,SMP:mid-end,15856,44299,0.357931,0.0,0.0
Quarter,2021-01-01,All,X,SMP,6699,124635,0.053749,0.0,0.0
Quarter,2021-01-01,All,X,SMP:high-end,5066,94054,0.053863,0.0,0.0
Quarter,2021-01-01,All,X,SMP:low-end,1675,30862,0.054274,0.0,0.0
Quarter,2021-01-01,All,X,SMP:mid-end,2392,44299,0.053997,0.0,0.0
Quarter,2021-01-01,Australia,A,SMP,1394,3064,0.454961,0.0,0.0
Quarter,2021-01-01,Australia,A,SMP:high-end,1031,2285,0.451204,0.0,0.0
Quarter,2021-01-01,Australia,A,SMP:low-end,342,773,0.442432,0.0,0.0
Quarter,2021-01-01,Australia,A,SMP:mid-end,503,1102,0.456443,0.0,0.0
Quarter,2021-01-01,Australia,G,SMP,171,3064,0.055809,0.0,0.0
Quarter,2021-01-01,Australia,G,SMP:high-end,141,2285,0.061707,0.0,0.0
Quarter,2021-01-01,Australia,G,SMP:low-end,48,773,0.062096,0.0,0.0
Quarter,2021-01-01,Australia,G,SMP:mid-end,51,1102,0.046279,0.0,0.0
Quarter,2021-01-01,Australia,H,SMP,120,3064,0.039164,0.0,0.0
Quarter,2021-01-01,Australia,H,SMP:high-end,88,2285,0.038512,0.0,0.0
Quarter,2021-01-01,Australia,H,SMP:low-end,34,773,0.043984,0.0,0.0
Quarter,2021-01-01,Australia,H,SMP:mid-end,43,1102,0.039020,0.0,0.0
Quarter,2021-01-01,Australia,O,SMP,114,3064,0.037206,0.0,0.0
Quarter,2021-01-01,Australia,O,SMP:high-end,86,2285,0.037637,0.0,0.0
Quarter,2021-01-01,Australia,O,SMP:low-end,29,773,0.037516,0.0,0.0
Quarter,2021-01-01,Australia,O,SMP:mid-end,46,1102,0.041742,0.0,0.0
Quarter,2021-01-01,Australia,S,SMP,1104,3064,0.360313,0.0,0.0
Quarter,2021-01-01,Australia,S,SMP:high-end,812,2285,0.355361,0.0,0.0
Quarter,2021-01-01,Australia,S,SMP:low-end,293,773,0.379043,0.0,0.0
Quarter,2021-01-01,Australia,S,SMP:mid-end,395,1102,0.358439,0.0,0.0
Quarter,2021-01-01,Australia,X,SMP,161,3064,0.052546,0.0,0.0
Quarter,2021-01-01,Australia,X,SMP:high-end,127,2285,0.055580,0.0,0.0
Quarter,2021-01-01,Australia,X,SMP:low-end,27,773,0.034929,0.0,0.0
Quarter,2021-01-01,Australia,X,SMP:mid-end,64,1102,0.058076,0.0,0.0
Quarter,2021-01-01,Brazil,A,SMP,3091,6745,0.458265,0.0,0.0
Quarter,2021-01-01,Brazil,A,SMP:high-end,2317,5071,0.456912,0.0,0.0
Quarter,2021-01-01,Brazil,A,SMP:low-end,804,1759,0.457078,0.0,0.0
Quarter,2021-01-01,Brazil,A,SMP:mid-end,1051,2319,0.453213,0.0,0.0
Quarter,2021-01-01,Brazil,G,SMP,432,6745,0.064047,0.0,0.0
Quarter,2021-01-01,Brazil,G,SMP:high-end,335,5071,0.066062,0.0,0.0
Quarter,2021-01-01,Brazil,G,SMP:low-end,104,1759,0.059125,0.0,0.0
